stream_seed,fraction,stream_size,exact,hll_estimate,relative_error
100,0.1000,2000,1644,1612.68,0.019049
100,0.2000,4000,2729,2750.31,0.007810
100,0.3000,6001,3451,3467.68,0.004834
100,0.4000,8000,3970,4030.85,0.015329
100,0.5000,10000,4302,4401.80,0.023198
100,0.6000,12000,4527,4639.08,0.024758
100,0.7000,14000,4678,4807.18,0.027614
100,0.8000,16000,4775,4937.00,0.033926
100,0.9000,18000,4845,4980.73,0.028014
100,1.0000,20000,4896,5086.56,0.038923
101,0.1000,2000,1657,1617.52,0.023824
101,0.2000,4000,2787,2725.52,0.022059
101,0.3000,6001,3520,3483.84,0.010272
101,0.4000,8000,4013,3934.15,0.019649
101,0.5000,10000,4346,4220.51,0.028875
101,0.6000,12000,4564,4453.95,0.024112
101,0.7000,14000,4721,4569.33,0.032127
101,0.8000,16000,4804,4641.14,0.033900
101,0.9000,18000,4876,4713.07,0.033414
101,1.0000,20000,4917,4745.42,0.034895
102,0.1000,2000,1645,1607.86,0.022575
102,0.2000,4000,2743,2794.74,0.018863
102,0.3000,6001,3465,3451.90,0.003781
102,0.4000,8000,3945,3958.24,0.003356
102,0.5000,10000,4315,4329.50,0.003361
102,0.6000,12000,4557,4593.02,0.007904
102,0.7000,14000,4702,4770.17,0.014498
102,0.8000,16000,4807,4900.20,0.019389
102,0.9000,18000,4864,4951.89,0.018070
102,1.0000,20000,4908,4988.93,0.016490
103,0.1000,2000,1643,1627.28,0.009570
103,0.2000,4000,2731,2729.00,0.000733
103,0.3000,6001,3479,3368.06,0.031889
103,0.4000,8000,3984,3795.30,0.047363
103,0.5000,10000,4309,4123.61,0.043023
103,0.6000,12000,4531,4383.21,0.032616
103,0.7000,14000,4691,4542.61,0.031633
103,0.8000,16000,4785,4624.28,0.033588
103,0.9000,18000,4857,4702.75,0.031759
103,1.0000,20000,4909,4757.93,0.030775
104,0.1000,2000,1649,1657.10,0.004915
104,0.2000,4000,2735,2799.24,0.023489
104,0.3000,6001,3494,3520.40,0.007557
104,0.4000,8000,3973,3927.94,0.011340
104,0.5000,10000,4301,4279.81,0.004926
104,0.6000,12000,4539,4522.56,0.003622
104,0.7000,14000,4681,4716.77,0.007642
104,0.8000,16000,4772,4759.95,0.002524
104,0.9000,18000,4844,4807.04,0.007631
104,1.0000,20000,4897,4822.38,0.015239
105,0.1000,2000,1642,1607.86,0.020789
105,0.2000,4000,2714,2752.87,0.014323
105,0.3000,6001,3461,3389.23,0.020737
105,0.4000,8000,3985,3932.07,0.013283
105,0.5000,10000,4310,4236.06,0.017157
105,0.6000,12000,4547,4483.27,0.014016
105,0.7000,14000,4680,4585.73,0.020142
105,0.8000,16000,4790,4681.15,0.022724
105,0.9000,18000,4840,4718.04,0.025199
105,1.0000,20000,4892,4777.59,0.023388
106,0.1000,2000,1647,1662.16,0.009205
106,0.2000,4000,2780,2775.01,0.001795
106,0.3000,6001,3489,3543.52,0.015627
106,0.4000,8000,3990,4065.51,0.018926
106,0.5000,10000,4334,4417.87,0.019352
106,0.6000,12000,4545,4617.03,0.015848
106,0.7000,14000,4699,4762.08,0.013423
106,0.8000,16000,4804,4862.89,0.012258
106,0.9000,18000,4868,4906.06,0.007818
106,1.0000,20000,4911,4968.06,0.011618
107,0.1000,2000,1665,1698.28,0.019985
107,0.2000,4000,2756,2805.06,0.017801
107,0.3000,6001,3490,3538.95,0.014026
107,0.4000,8000,3986,4024.61,0.009686
107,0.5000,10000,4308,4370.28,0.014456
107,0.6000,12000,4551,4617.87,0.014694
107,0.7000,14000,4690,4765.26,0.016047
107,0.8000,16000,4791,4850.92,0.012507
107,0.9000,18000,4857,4916.27,0.012203
107,1.0000,20000,4912,4958.49,0.009465
108,0.1000,2000,1638,1652.07,0.008591
108,0.2000,4000,2756,2721.00,0.012700
108,0.3000,6001,3510,3342.55,0.047708
108,0.4000,8000,4016,3783.05,0.058005
108,0.5000,10000,4339,4068.81,0.062270
108,0.6000,12000,4542,4273.89,0.059030
108,0.7000,14000,4706,4425.56,0.059593
108,0.8000,16000,4798,4491.85,0.063808
108,0.9000,18000,4869,4598.21,0.055616
108,1.0000,20000,4908,4613.12,0.060081
109,0.1000,2000,1656,1637.12,0.011399
109,0.2000,4000,2783,2833.08,0.017993
109,0.3000,6001,3494,3610.28,0.033281
109,0.4000,8000,3998,4092.14,0.023547
109,0.5000,10000,4327,4420.13,0.021522
109,0.6000,12000,4551,4633.49,0.018126
109,0.7000,14000,4698,4752.58,0.011617
109,0.8000,16000,4797,4836.22,0.008176
109,0.9000,18000,4860,4932.92,0.015005
109,1.0000,20000,4906,4968.27,0.012694
